no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277971554,792,9788932471389 ,국화와 칼 :일본 문화의 틀,루스 베네딕트 지음 ;오인석 옮김,"국화(평화)를 사랑하면서도 칼(전쟁)을 숭상하는 일본인의 이중성을 해부한 책.1946년, 미국의 인류학자 루스 베네딕트 여사가 미 국무부의 의뢰를 받아 2년 간의 자료 수집과 연구 끝에 내놓은 이 일본 문화 연구서는, 제2차 세계대전 중, 그리고 종전 직후 인간의 본성으로 여겼던 관례와 상식을 벗어나 서구인이 결코 이해할 수 없었던 일본인의 '이중성'을 연구 주제로 삼고 있다.",을유문화사,2008,http://image.aladin.co.kr/product/281/2/cover/893247138x_1.jpg,-970,6,학문
277968624,903,9788950966980 ,열두 살에 부자가 된 키라,글: 보도 섀퍼 ;그림: 원유미,"2001년 출간된 &lt;열두 살에 부자가 된 키라&gt;의 개정판으로, 주인공 키라가 말하는 개 머니의 도움을 받아 스스로의 힘으로 미래를 설계하고, 자신감을 키우며, 어른 못지 않은 ‘경제박사’가 되어 가는 과정을 자연스럽게 그렸다.",북이십일 을파소,2014,http://image.aladin.co.kr/product/4809/61/cover/8950966980_1.jpg,-11,5,아동
277956384,477,9788939538054 ,(디즈니 프린세스 오리지널 스토리) 라푼젤,[원저]: 그림형제 ;옮김: 양선하,"디즈니 프린세스 오리지널 스토리 시리즈. 명작 동화를 토대로 한 흥미진진한 이야기를 디즈니의 이미지와 함께 구성했다. 디즈니의 가장 최근 애니메이션 장면을 토대로, 월트 디즈니 스토리북 아트 팀에서 새롭게 제작한 이미지를 사용했다.",대교,2015,http://image.aladin.co.kr/product/5789/23/cover/8939538056_1.jpg,-11,5,아동
277965177,383,9788965707820 ,마케팅이다,세스 고딘 지음 ;김태훈 옮김,"'속임수의 시대는 끝났다. 마케팅은 '진실한 삶'이 향하는 방향에 있다!' 타성과 관행에 젖은 마케팅에 새로운 불씨를 지펴줄 마케팅 거장 세스 고딘의 10년 만의 신간. 더는 아무것도 할 수 없다.는 마케팅 무력감의 시대, 타성과 관행에 젖었던 마케팅에 새로운 불씨를 지펴줄 세스 고딘의 새로운 책이다.",쌤앤파커스,2019,https://image.aladin.co.kr/product/18733/35/cover/896570782x_1.jpg,-11,5,학문
277956424,477,9788949111452 ,(아프리카에 간)드소토 선생님,윌리엄 스타이그 글·그림;조세현 옮김,"으로 뉴베리 상을 수상한 윌리엄 스타이크의 작품. 치과 의사이자 '쥐'인 드소토 선생님은 코끼리 '무담보'의 엽서를 받고, 그의 이를 치료하기 위해 아프리카로 떠난다.",비룡소,2005,http://image.aladin.co.kr/product/58/43/cover/8949111454_2.jpg,-10,5,아동
277952853,124,9791160943757 ,숨바꼭질 :김정선 그림책,글·그림: 김정선,"사계절 그림책 시리즈. 과거의 아픔을 보며 우리 앞에 놓인 평화의 소중함을 느끼게 하는 그림책이다. 짧은 그림책 안에 치열했던 전쟁의 시간들이 담겨 있다. 그림책을 덮고 나면, 아련한 슬픔이 올라온다.",사계절,2018,https://image.aladin.co.kr/product/15150/40/cover/s792533021_1.jpg,285,4,아동
277964655,914,9788936438005 ,품위 있는 삶 :정소현 소설집,지은이: 정소현,"삶의 어둡고 적나라한 민낯을 진정성 있는 태도로 대면해온 작가 정소현이 첫 소설집 이후 7년 만의 신작 소설집. 기발한 상상력과 우리사회를 꿰뚫는 깊이 있는 시선으로 2019이효석문학상 최종심에 오른 「품위 있는 삶, 110세 보험」을 비롯해 총 여섯편의 단편이 실렸다.",창비,2019,https://image.aladin.co.kr/product/19832/27/cover/893643800x_1.jpg,286,4,문학
277962166,455,9788925552255 ,"보이지 않는 진실을 보는 사람들 :0.1%의 가능성, 100%의 열정, 진실을 밝히는 과학의 힘",정희선 지음,"정희선 전(前) 국과수 원장이 듀스 김성재 사망 사건, 서래마을 영아 살해 사건, 강호순 연쇄살인 사건, 남대문 방화 사건 등 우리 사회의 굵직한 사건들을 중심으로, 사건의 진실을 규명하기 위한 국과수 연구원들의 뜨거운 열의와 집념, 그리고 구체적인 과학수사 과정을 기록한 책이다.",RHK(알에이치코리아),2015,http://image.aladin.co.kr/product/5726/4/cover/8925552256_1.jpg,286,4,학문
277944950,53,9788965136248 ,레몬이 시큼시큼,"글: 세실 쥐글라,옮김: 김세은","요리조리 사이언스키즈 2권. 시큼시큼한 레몬의 레몬산과 레몬이 가진 항산화 작용 그리고 레몬을 통해 산성의 화학적 원리, 산성 작용으로 일어나는 아르키메데스의 원리 등 여러 과학적 개념과 원리를 자연스럽게 익힐 수 있다.",아름다운사람들,2020,https://image.aladin.co.kr/product/25680/9/cover/8965136245_1.jpg,286,4,아동
277954432,429,9788976044334 ,비움 효과 :삶을 변화시키는 마법,최현아 지음,"지금 이 세상은 무엇이든 사서 채우라고 말한다. 물건, 경험, 심지어 인간관계까지 돈으로 사서 채우라고 한다. 그러한 세상에서 비워야 행복하다고 외치는 저자는 자신의 경험으로부터 비움의 강력한 효과를 만끽한 후, 현재 비움 전문가로 활동하고 있다. 저자는 다양한 사람들을 만나 ‘비움’을 전파하면서 얻은 소소하지만 거대한 삶의 진리를 이 책에서 아낌없이 제공하고 있다.",문예춘추사,2021,https://image.aladin.co.kr/product/26093/52/cover/8976044339_1.jpg,286,4,교육
277963531,707,9788932001876 ,새들도 세상을 뜨는구나:황지우 詩集,황지우,"1983년 제3회 김수영문학상 수상작. 황지우의 첫 시집 『새들도 세상을 뜨는구나』는 기존의 정통적인 시 관념을 과감하게 부수면서 그 언어와 작업에서 대담한 실험과 전위적인 수법을 만들어내고 있다. 그러나 그는 그 형태파괴적 작업을 통해 날카로운 풍자와 강렬한 부정의 정신, 그 속에 도사린 슬픔을 효과적으로 드러내고 있다. 그에게 있어 시의 방법론은 곧 시의 메시지이다.",문학과지성사,1993,https://bookthumb-phinf.pstatic.net/cover/001/450/00145099.jpg?type=m1&udate=20130205,304,3,문학
277956153,228,9791186201138 ,"우르르 쾅, 지진 발생! - 지진 안전",로이 비쥬얼,로보카폴리 안전 그림책 8권. 사단법인 안전생활실천시민연합에서 감수 및 추천을 받아 제대로 만든 ‘지진 안전’ 그림책이다. 지진이 일어났을 때 침착하고 올바르게 대응하는 방법을 알려 주고자 펴냈다.,로이북스,2016,http://image.aladin.co.kr/product/9790/13/cover/k432535757_1.jpg,304,3,아동
