no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277967342,568,9791187481607 ,(환율과 금리로 보는) 앞으로 3년 경제전쟁의 미래,오건영 지음,"경제를 움직이는 핵심적 요소인 금리와 환율에 기반해 세계 경제의 흐름과 방향을 읽는다. 신한금융그룹에서 글로벌 시장 분석과 투자자산전략 업무를 담당한 저자는 금리와 환율을 씨줄로 1980년대 후반 일본의 추락, 1987년 한국의 외환위기, 2000년대 유럽의 재정위기, 최근 중국의 부채위기와 미국의 나 홀로 성장까지를 날줄로 엮어 세계 경제의 흐름을 읽고 미래를 전망한다.",지식노마드,2019,https://image.aladin.co.kr/product/19980/37/cover/k482635944_1.jpg,-1239,6,학문
277962552,455,9791160501599 ,나는 죽었다고 말하는 남자 :자아의 8가지 그림자,아닐 아난타스와미 지음 ;변지영 옮김,"올해의 주목할 만한 과학책', 《포브스》 선정 '꼭 읽어야 할 뇌과학서'. 일찍이 아내를 모자로 착각한 남자의 저자 올리버 색스가 나아간 길을 따라, 과학 저널리스트 아닐 아난타스와미는 ‘나를 잃어버린 사람들’의 세계로 들어선다.",길벗,2017,http://image.aladin.co.kr/product/10741/26/cover/k172530851_1.jpg,-1176,6,학문
277963478,707,9788925561943 ,범인 없는 살인의 밤,지은이: 히가시노 게이고 ;옮긴이: 윤성원,"방과 후, 비밀, 용의자 X의 헌신의 작가 히가시노 게이고의 초기작으로, 추리의 재미와 함께 서스펜스와 인물들의 농도 깊은 심리 드라마를 다루는 저자의 작품 세계를 작 보여주는 수작이다.",알에이치코리아,2017,http://image.aladin.co.kr/product/11282/30/cover/8925561948_1.jpg,-988,6,문학
277959525,739,9791191204032 ,위험한 행운의 편지,"이지수 (지은이), 송효정 (그림)",별숲 동화 마을 32권. 오랫동안 어린이 역사책 기획자로 활동해 온 이지수가 뜻 깊은 역사 사건과 풍부한 역사 지식을 담아 써낸 장편동화이다. 일제 시대 당시의 생활상과 시대적 배경 그리고 일제의 식민화 정책이 어떻게 강행되었는지 구체적이고 생생하게 알 수 있다.,별숲,2021,https://image.aladin.co.kr/product/26193/41/cover/k792738084_1.jpg,-626,6,아동
277964185,437,9788979196184 ,검은 집,기시 유스케 지음;이선희 옮김,일본 호러소설 대상 수상작. 일본에서 16만 부를 돌파하고 영화로도 제작되는 등 출간 직후 상당한 반향을 불러일으켰다.,창해,2004,http://image.aladin.co.kr/product/22/43/cover/8979196180_1.gif,-697,6,문학
277944994,53,9788990982902 ,괴소소설,"히가시노 게이고 (지은이), 김난주 (옮긴이)",천재 미스터리 작가 히가시노 게이고의 대환장 웃음 시리즈 제1탄. 미스터리의 제왕으로 불리는 히가시노 게이고를 ‘유머 소설’이라는 새로운 장르의 스타로 발돋움하게 한 획기적인 작품이다.,재인,2020,https://image.aladin.co.kr/product/25790/82/cover/8990982901_1.jpg,-1182,6,문학
277971433,514,9791135498138 ,섀도우 앤 본 3 - 폐허와 부활,"리 바두고 (지은이), 안종설 (옮긴이)","넷플릭스가 선택한 특급 판타지 시리즈 ‘섀도우 앤 본’의 원작 소설이 한국에 상륙했다. 그림자와 뼈, 포위와 태풍 그리고 폐허와 부활 총 3부작으로 구성된 이 시리즈는 북쪽으로는 피예르다, 남쪽으로는 슈 한, 그리고 대륙을 가로지르는 어둠의 장막에 둘러싸인 라브카 왕국의 평범한 고아 알리나 스타코프의 놀라운 일대기가 담긴 마법 판타지 시리즈다.",베리타스,2021,https://image.aladin.co.kr/product/26983/37/cover/k852730515_1.jpg,-1009,6,문학
277964311,537,9788996997962 ,불안의 서,지은이: 페르난두 페소아 ;옮긴이: 배수아,"포르투갈의 국민작가로 추앙받는 페르난두 페소아가 쓴 불안의 서. 짧으면 원고지 2~3매, 길면 20매 분량인 에세이 480여 편이 실려 있다. 어둠, 모호함, 실패, 곤경, 침묵 등을 자신의 헤테로님 베르나르두 소아레스를 통해 노래하고 있다. 소설가 배수아의 완역본.",봄날의책,2014,http://image.aladin.co.kr/product/3921/29/cover/899699796x_1.jpg,-1217,6,문학
277964424,696,9788934979289 ,블랙코미디 :유병재 농담집,지은이: 유병재,"'유병재 천재설' 의혹(?)마저 불러일으킨 전 국민의 웃음 폭탄 유병재의 첫 에세이. 코미디언이자 작가인 유병재가 지난 3년 동안 저축하듯 모은 에세이, 우화, 아이디어 노트, 그리고 미공개 글을 총 4장 200여 페이지에 담았다.",김영사,2017,https://image.aladin.co.kr/product/11997/96/cover/8934979283_1.jpg,-68,5,문학
277944897,53,9788954610704 ,우리는 언젠가 죽는다,데이비드 실즈 지음 ;김명남 옮김,"죽음이라는 결말에 대처하는 우리의 자세!인간은 누구나 죽음을 맞이할 수밖에 없다. 삶에 대한 논의가 이루어지듯이 죽음에 대한 탐구도 이루어져야 하지만, 죽음은 으레 무겁고 우울한 주제로 여겨진다.『우리는 언젠가 죽는다』는 유쾌하게 죽음을 이야기하는 책이다. '다큐멘터리 소설가'로 불리는 데이비드...",문학동네,2010,https://bookthumb-phinf.pstatic.net/cover/062/533/06253335.jpg?type=m1&udate=20160731,-52,5,학문
277968390,696,9788901245713 ,(위기의 시대) 돈의 미래 :세계 3대 투자자 짐 로저스가 말하는 새로운 부의 흐름,짐 로저스 지음 ;전경아 옮김,극심한 혼돈이 예상되는 글로벌 경제 환경에서 돈의 미래는 어떻게 될 것인가? 다가올 위험을 미리 감지하고 최악의 상황에서도 살아남는 전략은 무엇일까? 50년간 온갖 부침을 겪어내며 전설로 자리 잡은 투자 거장 짐 로저스의 냉철한 인사이트는 변곡점에 오른 부의 흐름을 읽어내는 최고의 안내서가 되어줄 것이다.,웅진씽크빅,2020,https://image.aladin.co.kr/product/25647/6/cover/890124571x_1.jpg,-186,5,학문
277962428,455,9788965963066 ,무기력에서 무를 빼는 가장 쉬운 방법 - 잠자는 의욕을 깨우는 48가지 심리 기술,"나이토 요시히토 (지은이), 김지윤 (옮긴이)",《만만하게 보이지 않는 대화법》의 저자 나이토 요시히토는 태어날 때부터 무기력한 사람은 없다고 말한다. 무기력은 ‘마음의 감기’에 불과해서 의욕을 북돋는 심리 메커니즘과 테크닉을 익히면 얼마든지 무기력을 퇴치할 수 있다는 것이다.,흐름출판,2019,https://image.aladin.co.kr/product/18641/79/cover/8965963060_1.jpg,-22,5,교육
277961785,78,9788962622713 ,"파란 하늘 빨간 지구 =기후변화와 인류세, 지구시스템에 관한 통합적 논의 /Blue sky red earth",조천호 지음,"대기과학자가 기후변화와 관련된 여러 사안을 알기 쉽게 풀어놓는다는 점에서 많은 이에게 도움이 될 것이다. 또 다른 측면에서 주목해야 할 점은, 이 책이 전해주는 메시지다. 기후변화는 이미 많은 것을 바꿔놓았고, 그에 따르는 피해는 가난하고 힘없는 사람들이 주로 보고 있다.",동아시아,2019,https://image.aladin.co.kr/product/18713/2/cover/8962622718_1.jpg,-206,5,학문
277963537,707,9788932033990 ,"낯선 중세 :잃어버린 세계, 그 다채로운 풍경을 거닐다",유희수 지음,중세는 '암흑기'인가 '황금기'인가? 서양 중세는 다른 시대에 비해 역사적 관점과 해석의 스펙트럼이 가장 넓고 다양하다. 저자는 이 책에서 중세 문화의 신비를 푸는 데 열쇠가 되는 주제들을 중심으로 크고 작은 이야기들을 연결시켜 중세를 폭넓게 조망한다.,문학과지성사,2018,https://image.aladin.co.kr/product/16234/12/cover/8932033994_1.jpg,-174,5,학문
277971124,340,9788965964377 ,"숲은 고요하지 않다 - 식물, 동물, 그리고 미생물 경이로운 생명의 노래","마들렌 치게 (지은이), 배명자 (옮긴이), 최재천 (감수)","독일의 여성 행동생물학자 마들렌 치게는 이 책에서 바이오커뮤니케이션에 대해 이야기한다. 그리스어에서 유래한 바이오는 ‘생명’을 뜻하고, 라틴어에서 유래한 커뮤니케이션은 ‘메시지’를 의미한다. 간단히 말해 바이오커뮤니케이션은 ‘생명체들 사이의 활발한 정보 전달’이다.",흐름출판,2021,https://image.aladin.co.kr/product/26963/63/cover/8965964377_1.jpg,-142,5,학문
277965681,931,9788925589084 ,내러티브 경제학 :경제를 움직이는 입소문의 힘,로버트 쉴러 지음 ;박슬라 옮김,"주식, 부동산 등의 자산 가격에 따른 시장의 비효율성에 관한 연구로 노벨 경제학상을 수상한 경제학자 로버트 쉴러의 최신간이 출간되었다. 2000년 한창 주가를 올리던 ‘닷컴 버블’의 종말을 정확히 예측한 책, 『비이성적 과열』의 베스트셀러 작가이자, 행동경제학의 대가인 쉴러 교수는 지금도 정치, 사회, 심리와 시장의 관계에 주목한 연구들로 공로를 인정받고 있다.",RHK(알에이치코리아),2021,https://image.aladin.co.kr/product/26556/59/cover/8925589087_1.jpg,-279,5,학문
277970798,101,9788934982975 ,21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가,지은이: 유발 하라리 ;옮긴이: 전병근,"인류의 과거(사피엔스), 미래(호모 데우스)에 이어 현재를 살펴본다. 과학 분야 전문지식보다는 시사적인 주제를 논한다. 과거-현재-미래 3종 세트 완성.",김영사,2018,https://image.aladin.co.kr/product/16234/14/cover/8934982977_1.jpg,-96,5,학문
277961744,40,9791164136452 ,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가,마이클 샌델 지음 ;함규진 옮김,"“우리가 ‘노력하면 성공할 수 있다’고 너무나도 당연히 생각해왔던, 개인의 능력을 우선시하고 보상해주는 능력주의 이상이 근본적으로 크게 잘못되어 있다”고 주장한다. 이러한 능력주의가 제대로 공정하게 작동하고 있는지, ‘공정함=정의’란 공식은 정말 맞는 건지 진지하게 되짚어본다.",미래엔,2020,https://image.aladin.co.kr/product/25470/6/cover/k092633826_1.jpg,-310,5,학문
