no,rank,isbn13,title,author,description,publisher,pub_date,img_url,emotion_score,color,category
277945425,564,9780399214578 ,Owl moon,by Jane Yolen;illustrated by John Schoenherr,THIS TIMELESS AND BEAUTIFUL CLASSIC--THE WINNER OF THE 1988 CALDECOTT MEDAL--CELEBRATES ITS 20TH ANNIVERSARY WITH THIS EDITION FEATURING LETTERS FROM YOLEN AND SCHOENHERR AND A STUNNING SILVERY COVER. FULL COLOR.,Philomel Books,c1987,http://image.aladin.co.kr/product/106/38/cover/0399214577_2.jpg,0,4,아동
277945426,564,9780399221309 ,Mirette on the high wire,Emily Arnold McCully,"Mirette learns tightrope walking from Monsieur Bellini, a guest in her mother's boarding house, not knowing that he is a celebrated tightrope artistIn a story set against the backdrop of nineteenth-century Paris, Mirette, a young girl living in the Widow Gateau's boarding...",G.P. Putnam's Sons,c1992,http://image.aladin.co.kr/product/104/10/cover/0399221301_1.jpg,0,4,아동
277945417,564,9780385736619 ,"Toys Go Out: Being the Adventures of a Knowledgeable Stingray, a Toughy Little Buffalo, and Someone Called Plastic (Paperback)","폴 오 젤린스키, 에밀리 젠킨스 (지은이)","LUMPHY IS A STUFFED BUFFALO. STINGRAY IS A STUFFED STINGRAY. AND PLASTIC... WELL, PLASTIC ISN'T QUITE SUREWHATSHE IS. THEY ALL BELONG TO THE LITTLE GIRL WHO LIVES ON THE HIGH BED WITH THE FLUFFY PILLOWS. TOGETHER IS BEST FOR THESE THREE BEST FRIENDS. TOGETHER THEY LOOK...",Yearling Books,2008,http://image.aladin.co.kr/product/180/66/cover/0385736614_1.jpg,0,4,아동
277945418,564,9780385753845 ,How to Babysit a Grandma (Hardcover),Jean Reagan (지은이),"Celebrate the special bond between grandmas and grandkids in this delightful book that puts the kids in charge of taking care of Grandma...if just for one day. A New York Times BestsellerWhen you babysit a grandma, if you're lucky, you'll have a...",Alfred a Knopf Inc,2014,http://image.aladin.co.kr/product/2882/27/cover/0385753845_2.jpg,0,4,아동
277945419,564,9780385754729 ,"The Book Thief (Paperback, Reprint)",마커스 주삭 (지은이),"IT’S JUST A SMALL STORY REALLY, ABOUT AMONG OTHER THINGS: A GIRL, SOME WORDS, AN ACCORDIONIST, SOME FANATICAL GERMANS, A JEWISH FIST-FIGHTER, AND QUITE A LOT OF THIEVERY. . . .SET DURING WORLD WAR II IN GERMANY, MARKUS ZUSAK’S GROUNDBREAKING NEW NOVEL IS THE STORY OF...",Random House Childrens Books,2013,http://image.aladin.co.kr/product/2655/74/cover/0385754728_1.jpg,0,4,청소년
277945420,564,9780394891347 ,The Berenstain Bears and the Big Road Race (Paperback) - The Berenstain Bears #2,"Stan Berenstain, Jan Berenstain (지은이)",ILLUS. IN FULL COLOR. BROTHER BEAR IN HIS LITTLE RED CAR SLOWLY BUT SURELY WINS OUT AGAINST THE YELLOW AND BLUE CARS IN THIS TORTOISE-AND-HARE STORY.,Random House Childrens Books,1987,http://image.aladin.co.kr/product/106/14/cover/0394891341_2.jpg,0,4,아동
277945421,564,9780395148068 ,(The)biggest bear,by Lynd Ward,Johnny goes hunting for a bearskin to hang on his family's barn and returns with a small bundle of trouble,Houghton Mifflin,1988,http://image.aladin.co.kr/product/104/1/cover/0395148065_1.jpg,0,4,아동
277945414,564,9780375969027 ,Wonder,R.J. Palacio,"Ten-year-old Auggie Pullman, who was born with extreme facial abnormalities and was not expected to survive, goes from being home-schooled to entering fifth grade at a private middle school in Manhattan, which entails enduring the taunting and fear of his classmates as he...",Alfred A. Knopf,c2012,http://image.aladin.co.kr/product/1178/13/cover/0375969020_1.jpg,0,4,아동
277945413,564,9780375872808 ,"Duck & goose, here comes the easter bunny!",by Tad Hills,"Duck & Goose are back! New York Times bestselling author and illustrator Tad Hills brings our favorite feathered friends out to celebrate spring in this sturdy board book. Duck & Goose have lots of ideas about how to find the Easter Bunny, but will they succeed?...",Schwartz & Wade Books,c2012,http://image.aladin.co.kr/product/1163/18/cover/0375872809_1.jpg,0,4,아동
277945411,564,9780375851377 ,There's No Such Thing as a Dragon,Jack Kent,"A classic dragon tale returns in paperback!When Billy Bixbee finds a tiny dragon in his bedroom, his mom tells him, There's no such thing as a dragon! This only makes the dragon get bigger. He grows, and grows, and grows, until he's bigger than Billy's house--and...",DragonflyBooks,2009,https://bookthumb-phinf.pstatic.net/cover/061/540/06154020.jpg?type=m1&udate=20160402,0,4,아동
277945401,564,9780340945117 ,Jasper's Beanstalk (Paperback),Nick Butterworth and Mick Inkpen (지은이),Jasper plants a bean. He waits for it to grow into a beanstalk all week.  How long will he have to wait before he can start looking for giants?,Hodder Children's Books,2008,http://image.aladin.co.kr/product/1272/48/cover/0340945117_1.jpg,0,4,기타
277945403,564,9780374443948 ,"The Library (Paperback, Reprint)","데이비드 스몰, 사라 스튜어트 (지은이)","BOOK LOVER ELIZABETH BROWN, WHOSE CONSTANT READING KEEPS HER FROM PLAYING WITH DOLLS OR DOING JUST ABOUT ANYTHING ELSE, FINDS HER HOUSE SO FULL OF BOOKS THAT SHE HAS TO START HER OWN PUBLIC LIBRARY",Farrar Straus & Giroux,1999,http://image.aladin.co.kr/product/105/98/cover/0374443947_1.jpg,0,4,청소년
277945404,564,9780374532505 ,"Justice: What's the Right Thing to Do? (Paperback, 미국판) - What's the Right Thing to Do?",마이클 샌델 (지은이),"FOR MICHAEL SANDEL, JUSTICE IS NOT A SPECTATOR SPORT, THE NATION'S REVIEWER OF JUSTICE REMARKED. IN HIS ACCLAIMED BOOK-BASED ON HIS LEGENDARY HARVARD COURSE-SANDEL OFFERS A RARE EDUCATION IN THINKING THROUGH THE COMPLICATED ISSUES AND CONTROVERSIES WE FACE IN PUBLIC LIFE...",Farrar Straus & Giroux,2010,http://image.aladin.co.kr/product/664/77/cover/0374532508_1.jpg,0,4,학문
277950482,787,9780061137631 ,Mouse cookies & more :a treasury,by Laura Joffe Numeroff ;illustrated by Felicia Bond,"FOUR FAVORITE IF YOU GIVE... TITLES ARE COLLECTED IN ONE COMPREHENSIVE EDITION, INCLUDING IF YOU GIVE A MOUSE A COOKIE, IF YOU GIVE A MOOSE A MUFFIN, IF YOU GIVE A PIG A PANCAKE, AND IF YOU TAKE A MOUSE TO SCHOOL. A CD, RECIPES, SHEET MUSIC, LITTLE-KNOWN FACTS, AND...",HarpercollinsChildrensBooks,2007,https://bookthumb-phinf.pstatic.net/cover/026/463/02646384.jpg?type=m1&udate=20091228,0,4,아동
277950485,787,9780152023485 ,"Water (Paperback, Voyager Book)",프랭크 애시 (지은이),"WATER IS BEAUTIFUL AND USEFUL AND, IN ITS MANY FORMS, VITAL TO LIFE. IN THIS LYRICAL COMPANION TOTHE EARTH AND I,FRANK ASCH ENCOURAGES YOUNG READERS TO APPRECIATE ANEW ONE OF OUR MOST PRECIOUS RESOURCES.",Harcourt,2001,http://image.aladin.co.kr/product/29/98/cover/0152023488_1.gif,0,4,아동
277950491,787,9780694012206 ,"Happy Halloween, Biscuit!",story by Alyssa Satin Capucilli;pictures by Pat Schories,WOOOF! WOOOF! BISCUIT AND THE LITTLE GIRL ARE GOING TRICK-OR-TREATING ON HIS FIRST HALLOWEEN. WHAT KINDS OF SILLY SURPRISES ARE IN STORE FOR THEM? PULL BACK THE FLAPS TO FIND OUT!,HarperFestival,c1999,https://bookthumb-phinf.pstatic.net/cover/005/717/00571715.jpg?type=m1&udate=20110414,0,4,아동
277950492,787,9780698116320 ,Draw me a star,Eric Carle,"DRAW ME A STAR WITH HIS BRILLIANT COLLAGE, POIGNANT AND POWERFUL IN ITS SIMPLICITY, ERIC CARLE CREATES AN UNFORGETTABLE STORY THAT CELEBRATES IMAGINATION AND THE ARTIST IN US ALL.",PenguinUSA,1998,https://bookthumb-phinf.pstatic.net/cover/059/675/05967530.jpg?type=m1&udate=20161230,0,4,아동
277950493,787,9780698118362 ,Nana Upstairs & Nana Downstairs,토미 드파올라,"HIS WONDERFUL GENERATIONAL STORY, A CLASSIC IN ITS OWN RIGHT, CELEBRATES ITS TWENTY-FIFTH ANNIVERSARY IN A NEW, FULL-COLOR EDITION, JOINING THE OTHER APPEALING PICTURE BOOKS IN WHICH TOMIE DRAWS UPON HIS CHILDHOOD MEMORIES. IN RE-CREATING THE ART, TOMIE SAYS, CREATING THIS...",PenguinUSA,2000,https://bookthumb-phinf.pstatic.net/cover/005/729/00572933.jpg?type=m1&udate=20151130,0,4,아동
277948007,314,9780198483199 ,Oxford Reading Tree: Level 7: More Stories A: the Jigsaw Puzzle (Paperback),Roderick Hunt,"THE STAGE 7 BIFF, CHIP AND KIPPER STORIES PROVIDE HUMOROUS STORYLINES TO ENGAGE AND MOTIVATE CHILDREN. THE POPULAR CHARACTERS AND FAMILIAR SETTINGS ARE BROUGHT TO LIFE BY RODERICK HUNT AND ALEX BRYCHTA. THE STORIES ARE UNCHANGED FROM THE PREVIOUS EDITION BUT THE COVER NOTES...",OxfordEducacion,2011,https://bookthumb-phinf.pstatic.net/cover/083/464/08346409.jpg?type=m1&udate=20180110,0,4,학문
